序号,企业名称,社会信用代码,来源,特殊备注,类别1,细分类别1,类别2,细分类别2,类别3,细分类别3,是否综合,专精特新,高新技术企业,独角兽企业,瞪羚企业,上市企业,主要数据产品或服务,经营状态,成立日期,注册资本,实缴资本,城市,区县,参保人数,规模,企业简介,国标门类,国标大类,国标中类,国标小类
26828,江苏艾司尔智能科技有限公司,91321023MA27BM5Q1D,规上,,数据技术企业,,,,,,,,,,,,,在业,2021-11-02,1000万元,1000万元,苏州市,相城区,26,S(小型),"江苏艾司尔智能科技有限公司成立于2021年，法定代表人刘新静。公司位于苏州相城区，主要从事光伏及新能源智能化装备的研发、制造和销售服务，提供光伏组件制造整体解决方案，涵盖常规、双玻、半片、叠瓦等产品类型。公司注重技术创新和品质提升，拥有专业的技术团队和独立的装配调试车间，所有设备出厂前均经过严格的质量检验和组装调试。艾司尔秉持以质量求生存、以科技取创新、以市场为导向的经营理念，致力于为客户提供优质产品和服务，实现共同发展。
江苏艾司尔智能科技有限公司在2025年获得国家级高新技术企业、省级民营科技企业和国家级科技型中小企业三项荣誉。该公司位于苏州相城区，专注于光伏及新能源智能化装备的研发与制造，提供包括常规、双玻、半片和叠瓦等在内的光伏组件制造整体解决方案。苏州地区的产业政策支持和技术创新环境为该公司的发展提供了有利条件，特别是在新能源领域的政策扶持下，公司能够更好地整合技术资源和市场渠道。公司在产品质量控制和技术创新方面具有较强的竞争优势，所有设备出厂前均经过严格的质量检验和组装调试。
以上内容由AI生成，仅供参考，请注意甄别。",科学研究和技术服务业,研究和试验发展,-,-
7829,宿迁德利恒电子商务有限公司,91321392MA26W0BN9W,新增导入,,数据应用企业,工业制造,,,,,,,,,,,,存续,2021-08-20,188万元,-,宿迁市,宿豫区,0,S(小型),宿迁德利恒电子商务有限公司成立于2021-08-20，法定代表人为吴新玲，注册资本为188万元，统一社会信用代码为91321392MA26W0BN9W，企业注册地址位于宿迁市湖滨新区软件园（保险小镇）A15幢A108室，所属行业为科技推广和应用服务业，经营范围包含：一般项目：单用途商业预付卡代理销售；软件开发；数据处理和存储支持服务；信息技术咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；互联网销售（除销售需要许可的商品）；互联网设备销售；互联网安全服务；互联网数据服务；个人互联网直播服务；工业互联网数据服务；人工智能双创服务平台；物联网应用服务；远程健康管理服务；数字文化创意内容应用服务；区块链技术相关软件和服务；云计算装备技术服务；5G通信技术服务；网络设备销售；咨询策划服务；人工智能公共服务平台技术咨询服务；信息咨询服务（不含许可类信息咨询服务）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,科学研究和技术服务业,科技推广和应用服务业,-,-
24187,江苏德罗智能科技有限公司,91320924MA1ME9TY2W,填报,,数据技术企业,,,,,,,,,,,,,在业,2016-01-12,2000万元,1118万元,盐城市,射阳县,0,S(小型),"江苏德罗智能科技有限公司成立于2016年1月，法定代表人为陆卿。公司专注于工业自动化领域，主营业务包括高速并联工业机器人本体研发和制造、高速并联工业机器人系统集成研发和制造、控制系统开发、软件开发、OEM配套。公司为食品、乳品、医药、电子、日化用品等行业提供自动化控制系统和解决方案，具备从系统咨询到维修培训的全过程服务能力。
江苏德罗智能科技有限公司在2023年获得市级企业技术中心和国家高新技术企业认定。自动化设备行业受到工业和信息化部、国家发展和改革委员会、科学技术部等部门的政策引导和资源支持，江苏德罗智能科技有限公司作为该领域企业，能够受益于行业的技术创新推动和科研项目支持。
以上内容由AI生成，仅供参考，请注意甄别。",信息传输、软件和信息技术服务业,软件和信息技术服务业,其他信息技术服务业,-
6532,无锡展创软件科技有限公司,91320211569164421Y,新增导入,,数据技术企业,,,,,,,,,,,,,存续,2011-02-18,501万元,200万元,无锡市,梁溪区,3,XS(微型),无锡展创软件科技有限公司（Chuangsoft）创业团队具有10年以上应用软件开发、实施和服务的经验，专注于企事业单位信息化的咨询、开发、实施和服务，并在该领域积累了丰富经验，业务范围涉及行业应用软件、手机智能应用开发、车辆定位、RFID、一卡通等多业务信息化领域。在大量自主研发的基础上，无锡展创软件科技有限公司还和中国移动集团公司物联网研究院、南京邮电大学、总参56研究所等多家科研院所合作，共同进行物联网项目合作、大型数据处理等领域，逐渐形成了完整的自有信息化应用产品体系。无锡展创软件科技有限公司作为中国移动信息行业软件开发商和系统架构提供商，逐渐确定了以移动信息化为主的业务发展方向，为客户建设移动信息化应用平台，大力推广实施移动信息应用。,信息传输、软件和信息技术服务业,互联网和相关服务,-,-
20577,苏州蜜思肤化妆品股份有限公司,9132050057378923XW,填报,,数据服务企业,,,,,,,,,,,,,在业,2011-04-22,7240万元,7240万元,苏州市,吴江区,130,S(小型),"苏州蜜思肤化妆品股份有限公司成立于2011年4月，董事长为郑久炎。公司是一家以化妆品单品牌店连锁为主营业务的企业，具有江南文化特色。蜜思肤专注于为女性提供美肤产品和养肤理念，与多家国际科研机构保持合作。企业以打造学习、成长平台和传承江南肌肤美学文化为使命，秉持敢想敢做的精神，致力于成为具有影响力的化妆品连锁企业。
苏州蜜思肤化妆品股份有限公司在2025年获得国家级科技型中小企业、省级专精特新中小企业和市级知识产权强企培育工程成长型企业三项重要认定。作为以单品牌店连锁为特色的化妆品企业，该公司通过与国际科研机构合作，将江南文化元素融入产品研发，在区域化妆品市场形成差异化竞争优势。
近期，蜜思肤凭借研发创新实力入选江苏省科技型中小企业名单，其科研创新中心和精准养肤工程技术研究中心的建设成果获得认可。同时，公司还入选了江苏省专精特新中小企业名单，在化妆品单品牌领域展现出专业化、特色化的发展优势，并拥有多项专利和行业标准制定参与经验。
以上内容由AI生成，仅供参考，请注意甄别。",制造业,-,-,-
28710,江苏虎宝网络科技有限公司,91320600MA25H6NP5E,规上,,数据技术企业,,,,,,,,,,,,,存续,2021-03-24,1000万元,-,南通市,崇川区,17,S(小型),江苏虎宝网络科技有限公司成立于2021-03-24，法定代表人为赵丽丽，注册资本为1000万元，统一社会信用代码为91320600MA25H6NP5E，企业注册地址位于江苏省南通市崇川区虹桥街道光明新村2幢204室，所属行业为软件和信息技术服务业，经营范围包含：一般项目：软件开发；信息技术咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；大数据服务；网络技术服务；信息系统集成服务；办公服务；市场营销策划；数据处理和存储支持服务；企业形象策划；图文设计制作；广告设计、代理；广告发布（非广播电台、电视台、报刊出版单位）；广告制作；个人互联网直播服务（需备案）；网络设备销售；平面设计；人工智能公共数据平台（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,信息传输、软件和信息技术服务业,软件和信息技术服务业,-,-
28751,江苏伊卡洛斯智能科技有限公司,91320623MA1XAP9M9M,规上,,数据技术企业,,,,,,,,,,,,,在业,2018-10-15,1000万元,340万元,南通市,南通经济技术开发区,8,XS(微型),"江苏伊卡洛斯智能科技有限公司成立于2018年10月15日，法定代表人为张永钢。公司是电力行业的无人机产品和服务提供商，拥有专业的软硬件研发团队、无人机飞行团队和数据处理团队。公司主要产品包括无人机电力作业系统、无人机多传感器电力通道巡检系统、无人机全自动精细化巡检系统、变电站及隧道巡检无人机、无人机自动机场等。公司专注于无人机自动飞行控制技术、多传感器融合技术、移动物联网和云平台技术、人工智能以及大数据分析等技术领域，为输电线路、配电线路、变电站、光伏电站、风电场等场景提供巡检服务解决方案。
江苏伊卡洛斯智能科技有限公司2025年获得国家级科技型中小企业和省级专精特新中小企业称号，2024年被评为国家级高新技术企业。在室内无人机领域，该公司被列为中国主要企业之一，参与华东等区域市场发展。电力工程科技创新与产业融通发展大会的召开为该公司在电力低空装备领域提供了技术交流和合作机会。
以上内容由AI生成，仅供参考，请注意甄别。",科学研究和技术服务业,研究和试验发展,-,-
11698,时代飞鹏科技有限公司,91320583MA24MU6A6F,自有,数字低空,数据应用企业,科技创新应用企业,,,,,,,,,,,,在业,2020-12-25,25478.618万元,19013.894万元,苏州市,昆山市,119,S(小型),主要的使命是利用无人系统技术，为全球相关国家、地区行业用户提供场景级解决方案，推动交通运输方式以二维为主向三维立体模式转变。无人系统关键装备体系级解决方案。,制造业,铁路、船舶、航空航天和其他运输设备制造业,航空、航天器及设备制造,-
21237,江苏聚尔麦网络科技有限公司,91320213MADJ096E58,填报,,数据应用企业,,,,,,,,,,,,,存续,2024-04-18,1000万元,1000万元,无锡市,梁溪区,0,M(中型),"江苏聚尔麦网络科技有限公司成立于2024年4月，法定代表人为董克娟，公司位于江苏省无锡市梁溪区。作为一家专注于信息技术领域的企业，其主营业务包括信息技术咨询服务、信息咨询服务和网络技术服务。公司开发了聚尔麦网络安全保护信息化管控系统，展现了在网络安全领域的技术能力。
江苏聚尔麦网络科技有限公司于2025年入选国家级科技型中小企业。互联网营销行业正快速发展，数字化和人工智能等技术推动行业变革，这为该公司在网络安全技术服务领域提供了市场机会。互联网技术在各行业的深入应用，特别是电子商务的兴起，可能为该公司信息技术服务带来新的业务增长点。
以上内容由AI生成，仅供参考，请注意甄别。",科学研究和技术服务业,专业技术服务业,-,-
19302,南京景浩讯电子科技有限公司,91320105MA7KHB1U2P,填报,,数据应用企业,,,,,,,,,,,,,存续,2022-03-14,50万元,50万元,南京市,建邺区,2,XS(微型),南京景浩讯电子科技有限公司成立于2022-03-14，法定代表人为李志，注册资本为50万元，统一社会信用代码为91320105MA7KHB1U2P，企业注册地址位于南京市建邺区白龙江东街9号B6幢三层335-122，所属行业为专业技术服务业，经营范围包含：一般项目：软件开发；集成电路设计；专业设计服务；集成电路芯片设计及服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息系统集成服务；集成电路销售；集成电路芯片及产品销售；电子专用材料销售；信息咨询服务（不含许可类信息咨询服务）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）限分支机构经营：集成电路制造；电力电子元器件制造；电子专用材料制造；集成电路芯片及产品制造。企业当前经营状态为存续。,科学研究和技术服务业,专业技术服务业,-,-
1617,慧防安全科技（苏州）有限公司,91320508MADLMC6K40,新增入库,,数据安全企业,,,,,,,,,,,,,在业,2024-05-23,500万元,170万元,苏州市,姑苏区,5,S(小型),"慧防安全科技（苏州）有限公司成立于2024年5月，法定代表人王晓波，公司位于江苏省苏州市姑苏区。作为一家专注于互联网安全领域的企业，其主营业务包括互联网安全服务、软件开发和网络与信息安全软件开发。公司拥有'一种低损伤高性能的空域水印编解码模型'专利技术，并开发了慧防视频防泄密系统软件、视频准入安全授权软件、视频准入安全控制软件及准入安全系统等多款软件产品。
慧防安全科技（苏州）有限公司在2025年获得省级培育数据企业、省级民营科技企业和国家级科技型中小企业三项荣誉。在智慧安防行业深度智能化的背景下，该公司位于苏州这一科技基础设施发展迅速的地区，受益于5G、大数据中心和人工智能等技术的普及。智慧安防产品在运营效率和人员追踪方面的需求增长，为该公司提供了市场拓展机会。随着光电信息技术和视频图像处理技术的发展，该公司在智能化安防系统中的技术应用具有潜力。
以上内容由AI生成，仅供参考，请注意甄别。",信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,-
20832,江苏铨奇智能科技有限公司,91320214MA22N1FF9A,填报,,数据技术企业,,,,,,,,,,,,,存续,2020-10-13,1000万元,-,无锡市,梁溪区,0,XS(微型),江苏铨奇智能科技有限公司成立于2020-10-13，法定代表人为朱正铨，注册资本为1000万元，统一社会信用代码为91320214MA22N1FF9A，企业注册地址位于无锡市梁溪区人民西路25-1302，所属行业为软件和信息技术服务业，经营范围包含：一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；人工智能应用软件开发；计算机系统服务；工业设计服务；集成电路设计；国内贸易代理；云计算设备销售；信息技术咨询服务；互联网销售（除销售需要许可的商品）；日用百货销售；电气设备销售；电子元器件零售；环境保护专用设备销售；五金产品零售；电力电子元器件销售；食品互联网销售（仅销售预包装食品）；办公用品销售；第二类医疗器械销售；食品销售（仅销售预包装食品）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,信息传输、软件和信息技术服务业,软件和信息技术服务业,-,-
21804,无锡魔视智能科技有限公司,91320214MAC8D72GXJ,填报,,数据应用企业,,,,,,,,,,,,,在业,2023-02-27,300万元,103万元,无锡市,新吴区,20,S(小型),"无锡魔视智能科技有限公司成立于2023年，法定代表人为张琦玮，公司位于江苏省无锡市新吴区。作为一家人工智能领域的技术企业，公司专注于人工智能应用软件开发、人工智能基础软件开发以及工程和技术研究和试验发展。公司在机器视觉领域拥有多项技术成果，包括锂电池极片胶带检测方法及系统专利，并开发了多款机器视觉检测软件，如MGVision、MSDetector、MagicV和MTVision，覆盖锂电行业和通用检测场景。公司已获得软件企业资质认证，展现了其在软件开发领域的技术实力。
无锡魔视智能科技有限公司入选2025年市级雏鹰培育企业和2024年国家级科技型中小企业。该公司在汽车自动安全驾驶解决方案领域，将计算机视觉和深度学习技术应用于实时驾驶场景分析。汽车零部件检测行业在智能制造转型背景下，制造执行系统成为核心工具，推动全流程数字化。视频监控行业向智能化、数字化转型的政策支持，为相关技术应用提供了发展空间。
以上内容由AI生成，仅供参考，请注意甄别。",科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,工程和技术研究和试验发展
16025,江苏众易好物网络科技有限公司,91320105MACCL10W9L,填报,,数据技术企业,,,,,,,,,,,,,在业,2023-03-22,1000万元,-,南京市,建邺区,2,S(小型),"江苏众易好物网络科技有限公司成立于2023年3月22日，法定代表人叶平，位于江苏省南京市建邺区。公司专注于互联网信息服务、信息技术咨询以及计算机软硬件销售业务。企业拥有自主研发的众易好物供应商平台和众易好物商城平台两款软件产品，为商家和消费者提供数字化服务支持。
江苏众易好物网络科技有限公司入选2025年国家级科技型中小企业。该公司位于南京市建邺区，依托地区信息技术产业集聚优势，获得第二类增值电信业务等多项经营许可，开展在线数据处理与交易处理业务。在B2B电子商务行业规范化发展背景下，该公司通过自主研发的供应商平台和商城平台，为商家和消费者提供数字化服务支持。
以上内容由AI生成，仅供参考，请注意甄别。",信息传输、软件和信息技术服务业,软件和信息技术服务业,-,-
19326,江苏宝兰德软件技术有限公司,91320114MA22R7KP0T,填报,,数据安全企业,,,,,,,,,,,,,在业,2020-10-22,1000万元,1000万元,南京市,雨花台区,20,S(小型),"江苏宝兰德软件技术有限公司成立于2020年10月，法定代表人易存道，公司位于江苏省南京市雨花台区。作为一家专注于软件技术开发的企业，宝兰德主要业务涵盖软件开发、计算机系统服务及技术服务三大领域。公司拥有包括宝兰德一站式图数据管理平台、数据智能可视化软件、数据集成交换中间件软件以及中间件统一管理平台（增强版）在内的多项软件著作权，并获得了软件企业认证资质。这些产品体现了企业在数据管理和中间件技术领域的专业能力。
江苏宝兰德软件技术有限公司在2025年获得国家级科技型中小企业认定。在中间件领域，该公司凭借技术实力进入行业领导者象限，成为国产中间件发展的代表企业。随着人工智能、云计算等新一代信息技术的应用，中间件市场保持稳定增长，该公司抓住政策支持和用户需求提升的机遇，在消除异构系统连接壁垒方面展现出专业能力。
以上内容由AI生成，仅供参考，请注意甄别。",信息传输、软件和信息技术服务业,软件和信息技术服务业,-,-
822,江苏优利信科技有限公司,91320281688300940R,入库,,数据应用企业,,,,,,,,,,,,,存续,2009-04-15,1070万元,791.4万元,无锡市,江阴市,25,S(小型),"江苏优利信科技有限公司成立于2009-04-15，法定代表人徐咏梅，公司专注于教育领域的软件研发和信息技术服务，以高科技为起点，以自主研发为核心，以扎根服务教育为核心理念；以教育公平、教育校本化和优质教育资源共享为发力点，与教育行政部门，特别是与学校深度融合，与教育专家密切配合，把‘新课改，双减’背景下学校教育的‘痛点’和‘堵点’作为公司的产品研发原点，以减轻师生负担、提升教学业绩为己任，多年来潜心研发的校园基础数据库、智能排课系统、学测网测试（评价）平台等产品，形成了各学段教育辅助性闭环管理系列产品，极大契合了当前‘互联网+教育’的潮流，响应了社会关切，丰富了教学方式、提升了教学效益，深受教育主管部门及各类学校的好评。
江苏优利信科技有限公司近年获得2025年国家级高新技术企业、2025年省级培育数据企业、2025年国家级科技型中小企业等荣誉。该公司经营年限处于全国同行前5%，在战略性新兴领域创新能力突出，专利申请量位居同领域前20%。
以上内容由AI生成，仅供参考，请注意甄别。",信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,-
30627,扬州市王者通讯器材有限公司,91321000660055533G,规上,,数据资源企业,,,,,,,,,,,,,在业,2007-04-13,500万元,500万元,扬州市,广陵区,8,S(小型),"扬州市王者通讯器材有限公司成立于2007-04-13，法定代表人为徐传伟，注册资本为500万元，统一社会信用代码为91321000660055533G，企业注册地址位于扬州市汶河北路皇宫33号，所属行业为批发业，经营范围包含：许可项目：第二类增值电信业务；废弃电器电子产品处理（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）
一般项目：通讯设备销售；电子产品销售；移动通信设备销售；通讯设备修理；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；家用电器销售；家用视听设备销售；日用家电零售；日用百货销售；眼镜销售（不含隐形眼镜）；体育用品及器材零售；照相机及器材销售；第二类医疗器械销售；办公用品销售；智能无人飞行器销售；箱包销售；卫生用品和一次性使用医疗用品销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。",批发和零售业,批发业,机械设备、五金产品及电子产品批发,广播影视设备批发
23083,常州斯麦欧环保科技有限公司,91320411MA20T2JG63,填报,,数据应用企业,,,,,,,,,,,,,存续,2020-01-10,100万元,-,常州市,新北区,0,XS(微型),常州斯麦欧环保科技有限公司成立于2020-01-10，法定代表人为董燕，注册资本为100万元，统一社会信用代码为91320411MA20T2JG63，企业注册地址位于常州市新北区创新路2号，所属行业为科技推广和应用服务业，经营范围包含：环保科技领域内的技术开发、技术咨询、技术服务、技术转让；环保产品及设备、电子产品、机械产品及配件的销售；环保设备的安装及技术服务；环保工程、建筑工程的设计与施工；污水处理；绿化工程的养护、设计、施工；化工原料及产品（除危险品）、计算机软件、日用百货、建筑材料、仪器仪表的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。企业当前经营状态为存续。,科学研究和技术服务业,科技推广和应用服务业,-,-
9092,江苏奥新新能源汽车有限公司,913209917910661606,新增导入,,数据技术企业,数据采集汇聚,,,,,,,,,,,,在业,2006-07-27,120000万元,120000万元,盐城市,盐城经济技术开发区,0,XS(微型),"江苏奥新新能源汽车有限公司成立于2006年7月27日，法定代表人为石劭光。作为一家纯电动汽车研发商，公司专注于纯电动汽车的研发和制造，产品包括乘用车、商用车和专用车三大系列，并提供新能源汽车零部件及汽车检测验证服务。
江苏奥新新能源汽车有限公司在2023年获得国家级高新技术企业和省级三星级上云企业两项荣誉。在新能源汽车领域，氢燃料电池技术的发展为该公司提供了技术升级的机遇，特别是在政策支持下，氢燃料汽车产业环境持续优化。同时，电动物流车市场的智能化趋势和电池技术突破，为该公司在商用车领域的发展创造了有利条件。
以上内容由AI生成，仅供参考，请注意甄别。",制造业,铁路、船舶、航空航天和其他运输设备制造业,-,-
27878,国动网络通信集团股份有限公司,913202116754718126,规上,,数据基础设施企业,,,,,,,,,,,,,存续,2008-05-20,88895.9031万元,88895.9031万元,无锡市,滨湖区,143,M(中型),"国动网络通信集团股份有限公司成立于2008年5月20日，董事长为卢杰。公司业务覆盖通信基础设施、新能源和数智信息化三大领域，在全国31个省份300多个地市开展运营。公司以通信铁塔业务为基石，形成了铁塔集团、控股集团和实业集团协同发展的格局。
国动网络通信集团股份有限公司近年来获得2025年省级独角兽企业、2023年国家级高新技术企业等荣誉。在网络通信行业中，该公司依托光通信技术发展趋势，推动通信网络向全光化方向发展，支持更大带宽和更低时延的通信需求。
以上内容由AI生成，仅供参考，请注意甄别。",建筑业,建筑安装业,-,-
13635,镇江惠捌商贸有限公司,91321112MA1P65729T,自有,,数据应用企业,,,,,,,,,,,,,在业,2017-06-12,60万元,60万元,镇江市,丹徒区,0,XS(微型),镇江惠捌商贸有限公司成立于2017-06-12，法定代表人为张洪林，注册资本为60万元，统一社会信用代码为91321112MA1P65729T，企业注册地址位于镇江市丹徒区丹徒新城风景城邦75幢105室，所属行业为零售业，经营范围包含：润滑油、车船配件、车辆、轮胎、船舶、计算机软硬件及电子产品的销售；道路普通货物运输、水路货物运输（上述项目危险品除外）；汽车维修、保养与租赁（危险货物运输车辆维修除外）；房屋租赁；金属材料（贵金属除外）、建筑材料（危险品除外）、机械设备、家电、五金、木材及制品、炉料（危险品除外）、石化产品（危险品除外）、燃料油、煤炭、农副产品（国家有专项规定的除外）、日用品百货、眼镜（隐形眼镜除外）、服装、针纺织品的销售；广告设计、发布服务；各类企业的数据采集、分析、咨询；地理信息系统工程服务；导航及位置服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。企业当前经营状态为在业。,批发和零售业,零售业,综合零售,-
30108,宿迁松顿技术有限公司,91321311MADUPDPQ1H,规上,,数据技术企业,,,,,,,,,,,,,存续,2024-08-05,100万元,-,宿迁市,宿豫区,0,XS(微型),宿迁松顿技术有限公司成立于2024-08-05，法定代表人为赵龙，注册资本为100万元，统一社会信用代码为91321311MADUPDPQ1H，企业注册地址位于江苏省宿迁市宿豫区电商园区永业大厦C1栋1017室，所属行业为研究和试验发展，经营范围包含：一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；物联网技术服务；信息咨询服务（不含许可类信息咨询服务）；供应链管理服务；环保咨询服务；互联网数据服务；日用百货销售；食用农产品零售；母婴用品销售；水产品批发；鲜肉批发；鲜肉零售；包装服务；餐饮管理；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；智能农业管理；广告发布；摄像及视频制作服务；平面设计；计算机系统服务；信息系统集成服务；企业管理咨询；市场营销策划；组织文化艺术交流活动；会议及展览服务；数字创意产品展览展示服务；广告设计、代理；广告制作；商务代理代办服务；办公设备耗材销售；电子元器件与机电组件设备销售；家用电器销售；日用品批发；单用途商业预付卡代理销售；皮革制品销售；皮革、毛皮及其制品加工专用设备销售；工艺美术品及收藏品零售（象牙及其制品除外）；家具销售；电子产品销售；日用杂品销售；家居用品销售；电力电子元器件销售；互联网销售（除销售需要许可的商品）；移动通信设备销售；通信设备销售；通讯设备修理；旧货销售；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；计算机及办公设备维修；办公设备销售；金属材料销售；电气设备修理；包装材料及制品销售；普通货物仓储服务（不含危险化学品等需许可审批的项目）；家具安装和维修服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,科学研究和技术服务业,研究和试验发展,-,-
30101,宿迁华翼荣合通信技术有限公司,91321302MA1Y8B2E0N,规上,,数据基础设施企业,,,,,,,,,,,,,存续,2019-04-16,100万元,100万元,宿迁市,宿城区,25,S(小型),宿迁华翼荣合通信技术有限公司成立于2019-04-16，法定代表人为吴刚，注册资本为100万元，统一社会信用代码为91321302MA1Y8B2E0N，企业注册地址位于江苏省宿迁市西湖路6号宿迁宝龙广场MALL区29号楼第一层M1-L1-029/030/031/032商铺，所属行业为软件和信息技术服务业，经营范围包含：通信技术开发、技术咨询、技术服务；代办中国电信股份有限公司宿迁分公司授权业务；电子产品、通讯设备（卫星电视广播地面接收设施除外）的批发、零售、维修；计算机软硬件的研发、批发、零售、技术咨询、技术服务；网络工程设计与施工；安全防范设备的安装和维护；五金交电、机械设备、日用百货、装饰材料（危险化学品除外）、汽车零配件的批发和零售；通信系统集成。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：第二类医疗器械销售；新能源汽车整车销售；汽车销售；汽车零配件零售；汽车零配件批发；汽车装饰用品销售；信息咨询服务（不含许可类信息咨询服务）；商务代理代办服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,信息传输、软件和信息技术服务业,软件和信息技术服务业,-,-
13299,连云港瑞霖地理信息科技有限公司,91320706MA26C2EQ99,自有,,数据应用企业,交通运输应用企业,,,,,,,,,,,,存续,2021-06-23,100万元,100万元,连云港市,海州区,0,XS(微型),连云港瑞霖地理信息科技有限公司成立于2021-06-23，法定代表人为吴茂瑞，注册资本为100万元，统一社会信用代码为91320706MA26C2EQ99，企业注册地址位于连云港市海州区解放东路150号九龙国际广场A座S2105室，所属行业为软件和信息技术服务业，经营范围包含：许可项目：测绘服务；地质灾害治理工程勘查；建设工程勘察；各类工程建设活动（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：地理遥感信息服务；软件开发；工程管理服务；工程技术服务（规划管理、勘察、设计、监理除外）；基础地质勘查；地质勘查技术服务；土地调查评估服务；不动产登记代理服务；数字内容制作服务（不含出版发行）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；网络技术服务；互联网数据服务；数据处理和存储支持服务；卫星遥感数据处理；数据处理服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为存续。,信息传输、软件和信息技术服务业,软件和信息技术服务业,数字内容服务,地理遥感信息服务
5955,苏州福骥机器人有限公司,91320506MACPD2N98B,新增导入,,数据应用企业,工业制造,,,,,,,,,,,,在业,2023-06-28,100万元,100万元,苏州市,苏州工业园区,0,XS(微型),"苏州福骥机器人有限公司成立于2023年，法定代表人刘伦莹，企业位于江苏省苏州市苏州工业园区。公司业务聚焦工业互联网数据服务、工业机器人销售和智能机器人销售领域，拥有基于RNN的声纹识别技术专利，并开发了分子合成路径智能推荐与评估系统、分子图神经网络活性预测与优化平台等软件产品。
苏州福骥机器人有限公司在2025年入选省级企业知识产权管理贯标备案单位。
以上内容由AI生成，仅供参考，请注意甄别。",信息传输、软件和信息技术服务业,-,-,-
21456,无锡鑫九旺信息科技有限公司,91320213MACWPWWL7G,填报,,数据应用企业,,,,,,,,,,,,,在业,2023-08-16,1000万元,-,无锡市,梁溪区,0,S(小型),无锡鑫九旺信息科技有限公司成立于2023-08-16，法定代表人为韩素娜，注册资本为1000万元，统一社会信用代码为91320213MACWPWWL7G，企业注册地址位于无锡市梁溪区元丰路82号，所属行业为科技推广和应用服务业，经营范围包含：一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；工业控制计算机及系统销售；计算机系统服务；计算机及通讯设备租赁；计算机及办公设备维修；互联网设备销售；工业自动控制系统装置销售；软件销售；电子产品销售；智能家庭消费设备销售；智能车载设备销售；信息安全设备销售；物联网设备销售；网络设备销售；数字视频监控系统销售；智能无人飞行器销售；商用密码产品销售；计算器设备销售；软件开发；人工智能应用软件开发；信息系统集成服务；智能控制系统集成；信息系统运行维护服务；信息技术咨询服务；量子计算技术服务；网络技术服务；网络与信息安全软件开发；办公设备销售；办公设备耗材销售；办公设备租赁服务；专用设备修理；食品销售（仅销售预包装食品）；个人互联网直播服务；互联网销售（除销售需要许可的商品）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。企业当前经营状态为在业。,科学研究和技术服务业,科技推广和应用服务业,-,-
